articulum,listings,min_price,median_price,avg_price,max_price,le_1200,le_2000
A2710901929,94,500,4600.0,7827.5000000000000000,51300,17,26
06E121018D,46,500,3515.0,5118.0652173913043478,19620,6,12
3Q0698451L,57,500,8301.0,7737.1052631578947368,16600,1,4
LR156918,192,500,4625.0,55729.963541666667,2700001,3,54
06E121111G,89,500,3000.0,4764.3370786516853933,15490,4,27
60U945307A,76,500,5600.0,9492.1710526315789474,53320,2,5
A2722000031,210,500,3000.0,4485.3238095238095238,24396,6,57
06H145710D,170,500,5250.0,8812.5529411764705882,4E+4,4,18
06H906036Q,221,500,3000.0,5454.5610859728506787,27687,23,53
3501123XGW02A,173,500,2000.0,3784.0115606936416185,26710,28,88
A0034205283,38,500,5000.0,7094.4736842105263158,32184,1,6
A0009909819,28,500,9500.0,9397.3214285714285714,19700,1,1
A1663201200,38,504,4109.5,6125.5000000000000000,16670,5,12
A0065421718,136,510,3000.0,5402.2867647058823529,68610,1,26
N43B20AA,238,511,3749.5,17391.352941176471,160650,39,78
7L0407021B,116,520,4473.0,10900.620689655172,77800,3,14
LR003651,120,521,3895.0,5293.3000000000000000,24680,22,39
7L8199131F,131,522,3000.0,5729.1221374045801527,34209,18,30
03L905061H,19,525,13290.0,12565.684210526316,23149,3,3
715900326,46,525,3154.5,4456.7391304347826087,11830,9,15
A6512001770,46,540,1375.0,3925.3478260869565217,16200,18,30
760853597AIDJ,48,540,5000.0,11287.020833333333,2.5E+5,7,11
09P321370,47,550,9171.0,9451.5531914893617021,27683,2,2
A1768200144,29,550,14651.0,13892.517241379310,29950,1,1
A2762001301,117,550,9700.0,12440.880341880342,61425,1,1
LR011219,78,550,6029.5,6796.6794871794871795,24854,9,24
03H109569,30,550,8285.0,16836.100000000000,269000,5,7
8K0698151R,18,570,6350.0,9560.3333333333333333,23100,1,6
VKBA3643,173,573,5443.0,6077.9595375722543353,15050,1,4
A0009052504,154,589,25000.0,29436.461038961039,128500,4,4
LR076696,54,590,15420.0,17786.037037037037,80600,1,1
A1643300685,61,590,4646.0,7150.6229508196721311,19667,14,23
0B5325429E,111,595,5098.0,6517.3963963963963964,40500,4,15
A0009051103,79,599,18000.0,23551.746835443038,111383,1,1
LR035556,50,599,16550.0,21175.220000000000,6E+4,2,2
A2043260200,171,599,5400.0,7362.1871345029239766,35805,4,23
06L109259D,172,599,3498.0,4130.7558139534883721,13400,7,38
A4603330314,62,599,4548.5,5164.0161290322580645,15825,11,17
A1643300385,46,599,3510.0,6649.0434782608695652,27650,9,10
710001645,58,600,5450.0,6020.8793103448275862,12122,2,4
3Q0698451,31,600,8125.0,6821.4193548387096774,13000,5,10
A2760100331,70,600,4230.0,5585.4000000000000000,13000,5,8
LR071914,136,600,4000.0,6617.2720588235294118,58680,8,22
A0998100316,49,600,28614.0,29566.020408163265,65000,2,2
A6420701987,75,600,8000.0,11682.853333333333,131375,2,6
059103469DE,83,600,28500.0,27283.951807228916,67673,1,1
A2701410025,193,600,3100.0,6716.4663212435233161,370500,23,59
507032554,6,600,29000.0,24799.833333333333,32600,1,1
7P0498287,160,600,3460.0,6450.3875000000000000,198900,23,54
GHY93328Z,29,600,3760.0,5909.9310344827586207,14000,2,7
43202JG21A,110,604,5510.5,6043.4181818181818182,25184,10,26
A0004205900,138,604,4909.0,46831.123188405797,831600,2,18
A0002007323,29,624,20100.0,17844.206896551724,38360,1,1
5Q0413023FH,166,626,7950.0,27673.295180722892,265900,1,1
3Q0698451J,66,630,4247.0,27548.909090909091,831600,2,13
LR025919,18,639,9854.0,10369.3333333333333333,21681,2,4
CT1134K1,50,650,16375.0,15624.920000000000,26290,1,2
34116799964,119,650,10700.0,34390.546218487395,4.2E+5,1,1
06E103472L,53,655,2000.0,24689.679245283019,235000,11,28
A1666205901,144,659,27000.0,39285.069444444444,185000,1,1
A2114230912,89,660,4500.0,6645.8651685393258427,70200,10,24
RVH000055,216,660,5600.0,6639.2685185185185185,34070,3,13
5TB837015E,32,665,7499.5,13594.906250000000,42740,2,2
7H0819021A,121,675,4200.0,6067.6280991735537190,23000,2,16
